K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.010000,0.100000,0.875000,0.944957,0.002396,162.434117,7.860949
64,0.010000,0.100000,0.900000,0.944746,0.002346,166.082706,6.492653
64,0.010000,0.100000,0.925000,0.944785,0.002335,166.408039,6.735983
64,0.010000,0.100000,0.950000,0.945230,0.002289,170.158405,10.977189
64,0.010000,0.100000,0.975000,0.946388,0.002276,166.434893,6.882104
64,0.010000,0.100000,1.000000,0.948797,0.002387,44.697001,7.650986
64,0.020000,0.001000,0.750000,1.001307,0.002076,7.694962,0.372542
64,0.020000,0.001000,0.775000,1.001057,0.001778,7.628439,0.331332
64,0.020000,0.001000,0.800000,1.001106,0.001990,7.619394,0.319426
64,0.020000,0.001000,0.825000,1.001343,0.001467,7.609950,0.288452
64,0.020000,0.001000,0.850000,1.000971,0.001863,7.693455,0.486660
64,0.020000,0.001000,0.875000,1.001408,0.001952,7.763463,0.383504
64,0.020000,0.001000,0.900000,1.001140,0.001753,7.624916,0.279752
64,0.020000,0.001000,0.925000,1.001345,0.001617,7.567934,0.289572
64,0.020000,0.001000,0.950000,1.001076,0.001870,7.601512,0.297802
64,0.020000,0.001000,0.975000,1.000950,0.001375,7.577739,0.292470
64,0.020000,0.001000,1.000000,1.001134,0.001585,7.575774,0.299307
64,0.020000,0.002000,0.750000,0.999401,0.001578,7.559612,0.292590
64,0.020000,0.002000,0.775000,0.999354,0.001842,7.656378,0.352803
64,0.020000,0.002000,0.800000,0.999333,0.001630,7.607497,0.298745
64,0.020000,0.002000,0.825000,0.999376,0.002123,7.583834,0.287449
64,0.020000,0.002000,0.850000,0.999705,0.001724,7.622003,0.327865
64,0.020000,0.002000,0.875000,0.999234,0.001716,7.814271,0.398866
64,0.020000,0.002000,0.900000,0.999024,0.002456,7.614416,0.335276
64,0.020000,0.002000,0.925000,0.998941,0.001976,7.625513,0.317382
64,0.020000,0.002000,0.950000,0.999026,0.001757,7.607319,0.306776
64,0.020000,0.002000,0.975000,0.999087,0.001934,7.610961,0.292447
64,0.020000,0.002000,1.000000,0.999110,0.001843,7.608407,0.286412
64,0.020000,0.005000,0.750000,0.994165,0.001905,7.602565,0.267747
64,0.020000,0.005000,0.775000,0.993695,0.002340,7.573039,0.259425
64,0.020000,0.005000,0.800000,0.993915,0.001996,7.613901,0.268994
64,0.020000,0.005000,0.825000,0.993976,0.001543,7.670600,0.431943
64,0.020000,0.005000,0.850000,0.993750,0.001825,7.595021,0.287477
64,0.020000,0.005000,0.875000,0.993874,0.001864,7.624132,0.296188
64,0.020000,0.005000,0.900000,0.993814,0.002137,7.611337,0.289549
64,0.020000,0.005000,0.925000,0.993451,0.002015,7.611149,0.243428
64,0.020000,0.005000,0.950000,0.993464,0.001756,7.601473,0.294536
64,0.020000,0.005000,0.975000,0.993963,0.002110,7.615334,0.328037
64,0.020000,0.005000,1.000000,0.993746,0.001708,7.622252,0.306251
64,0.020000,0.010000,0.750000,0.985344,0.001957,7.633895,0.291361
64,0.020000,0.010000,0.775000,0.984966,0.001809,7.619452,0.287991
64,0.020000,0.010000,0.800000,0.985118,0.001971,7.766707,0.511889
64,0.020000,0.010000,0.825000,0.985080,0.001971,7.574221,0.282104
64,0.020000,0.010000,0.850000,0.985435,0.001659,7.556467,0.294321
64,0.020000,0.010000,0.875000,0.984679,0.002107,7.549987,0.304284
64,0.020000,0.010000,0.900000,0.985424,0.001736,7.603770,0.388698
64,0.020000,0.010000,0.925000,0.985207,0.001654,7.617973,0.282278
64,0.020000,0.010000,0.950000,0.985143,0.001768,7.591722,0.288479
64,0.020000,0.010000,0.975000,0.985062,0.001907,7.614843,0.308258
64,0.020000,0.010000,1.000000,0.985255,0.001920,7.599707,0.293109
64,0.020000,0.020000,0.750000,0.971607,0.001934,7.598046,0.279738
64,0.020000,0.020000,0.775000,0.971656,0.001986,7.572865,0.286385
64,0.020000,0.020000,0.800000,0.971957,0.002183,7.562571,0.289334
64,0.020000,0.020000,0.825000,0.971646,0.002275,7.561920,0.283663
64,0.020000,0.020000,0.850000,0.971656,0.001953,7.559579,0.283164
64,0.020000,0.020000,0.875000,0.971748,0.002018,7.586748,0.271290
64,0.020000,0.020000,0.900000,0.971839,0.001743,7.606012,0.270627
64,0.020000,0.020000,0.925000,0.971531,0.001843,7.599097,0.260409
64,0.020000,0.020000,0.950000,0.971611,0.001949,7.607354,0.344411
64,0.020000,0.020000,0.975000,0.971752,0.001942,7.587528,0.317756
64,0.020000,0.020000,1.000000,0.971581,0.002105,7.589702,0.268087
64,0.020000,0.050000,0.750000,0.955145,0.002430,7.920399,1.278234
64,0.020000,0.050000,0.775000,0.955205,0.002481,7.606615,0.254810
64,0.020000,0.050000,0.800000,0.955103,0.002464,7.624948,0.265523
64,0.020000,0.050000,0.825000,0.955168,0.002427,7.599878,0.324062
